 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,143530789,118360,400550,84719,283967,123728,77967,274151,404516,696583,69181,390735,324764,104155,240716,1301767,352859,73815,371789,153856,186923
aeroplane,169616,1380788,0,380,16,0,0,853,0,0,0,0,0,0,112,8180,0,0,0,0,0
bicycle,142747,0,2045849,0,0,0,0,11207,22,3013,0,0,0,0,14159,20359,993,0,2447,0,0
bird,159785,1140,14,1393502,70,0,0,1500,24016,0,0,0,7174,0,0,12040,36,0,0,0,0
boat,46988,0,0,0,920446,0,0,0,0,0,0,0,0,0,33642,14753,0,0,0,0,0
bottle,36302,0,1293,0,0,635375,0,0,0,23,0,3559,0,0,0,4951,0,159,10,0,4
bus,104648,0,0,0,0,0,3094919,5188,0,0,0,0,0,0,0,5635,0,0,0,0,0
car,158426,80,591,0,4802,0,1722,4198098,0,0,304,0,44,0,3369,7871,0,0,0,36,0
cat,199559,0,0,0,0,2085,0,0,6268379,2494,0,2585,11443,0,0,27971,863,0,334,0,1
chair,402677,0,1044,0,0,330,0,0,3076,2461850,0,39991,802,0,0,63948,5044,0,77853,0,4
cow,154097,0,0,0,0,0,0,12,0,0,1341527,0,34692,91649,0,117,0,24780,0,0,0
diningtable,207519,0,0,0,0,14778,0,0,1038,32392,0,1546606,0,0,0,16274,1898,0,7709,0,0
dog,325339,0,0,0,0,34,0,211,13754,0,0,0,5561569,130,0,28674,0,2105,4817,0,0
horse,69013,0,0,5,0,0,0,0,37,0,0,0,11706,1399504,0,21391,82,0,0,0,0
motorbike,140608,159,2843,0,0,0,0,39004,0,0,0,0,0,0,2827299,36048,0,0,0,0,0
person,970252,2927,46253,0,32851,34095,6704,19045,22212,58065,4765,20159,96779,26982,47163,13997491,11001,2047,70766,7382,4345
pottedplant,117943,0,632,38,0,435,0,0,84,1172,0,1115,0,0,0,5511,862370,0,4702,0,0
sheep,81344,0,0,131,0,0,0,0,407,0,103442,0,0,0,1941,1001,0,1552599,0,0,0
sofa,380211,0,0,0,0,87,0,0,1530,58298,0,435,7657,0,0,70849,3734,0,2734392,0,0
train,208289,0,0,0,0,0,0,117,0,0,0,0,0,0,0,2696,0,0,0,3192671,0
tvmonitor,139236,0,0,0,0,409,0,0,0,772,0,0,0,0,0,2026,0,0,30,0,1313887
